iter	Passed	Remaining
0	17	14125
1	19	7763
2	22	6004
3	25	5032
4	27	4389
5	30	3982
6	32	3682
7	34	3432
8	36	3249
9	39	3106
10	41	2971
11	43	2865
12	45	2758
13	47	2688
14	49	2611
15	52	2555
16	54	2520
17	56	2474
18	59	2437
19	61	2395
20	63	2360
21	65	2320
22	67	2289
23	70	2271
24	72	2251
25	74	2221
26	75	2173
27	77	2126
28	79	2103
29	81	2087
30	83	2069
31	85	2055
32	87	2038
33	89	2024
34	91	2007
35	93	1990
36	96	1980
37	98	1968
38	100	1954
39	102	1946
40	104	1939
41	107	1934
42	109	1933
43	111	1923
44	113	1912
45	116	1907
46	119	1909
47	121	1905
48	124	1902
49	126	1896
50	128	1885
51	130	1873
52	132	1862
53	134	1862
54	137	1860
55	152	2028
56	154	2017
57	157	2010
58	159	2000
59	161	1991
60	163	1983
61	166	1976
62	168	1968
63	170	1959
64	172	1951
65	175	1947
66	177	1938
67	179	1929
68	181	1920
69	184	1919
70	186	1913
71	188	1907
72	190	1899
73	192	1892
74	194	1884
75	197	1877
76	200	1879
77	203	1886
78	205	1879
79	208	1873
80	210	1866
81	212	1857
82	213	1847
83	216	1842
84	218	1835
85	220	1828
86	222	1820
87	224	1815
88	226	1807
89	228	1800
90	230	1794
91	232	1790
92	235	1787
93	237	1781
94	239	1776
95	241	1769
96	243	1764
97	245	1758
98	247	1752
99	249	1746
100	251	1740
101	253	1734
102	255	1727
103	257	1723
104	259	1717
105	261	1714
106	264	1711
107	266	1708
108	268	1702
109	270	1696
110	272	1691
111	274	1685
112	276	1679
113	278	1674
114	280	1669
115	282	1665
116	284	1659
117	286	1655
118	288	1650
119	290	1644
120	292	1640
121	294	1636
122	296	1631
123	298	1626
124	300	1623
125	302	1615
126	304	1611
127	306	1608
128	308	1603
129	310	1600
130	312	1597
131	314	1592
132	316	1587
133	318	1582
134	320	1578
135	322	1574
136	324	1569
137	326	1564
138	327	1559
139	329	1555
140	331	1551
141	333	1543
142	335	1540
143	337	1536
144	339	1533
145	341	1529
146	343	1526
147	345	1522
148	347	1517
149	349	1513
150	351	1509
151	353	1505
152	355	1501
153	357	1498
154	359	1495
155	361	1492
156	363	1488
157	365	1485
158	367	1481
159	369	1479
160	371	1475
161	373	1472
162	376	1469
163	378	1466
164	380	1462
165	382	1459
166	383	1455
167	385	1451
168	387	1448
169	389	1445
170	391	1441
171	393	1437
172	395	1434
173	397	1430
174	399	1427
175	401	1423
176	403	1420
177	405	1416
178	407	1413
179	409	1409
180	410	1404
181	412	1401
182	414	1398
183	416	1395
184	418	1391
185	420	1389
186	422	1386
187	424	1382
188	426	1379
189	428	1376
190	430	1372
191	432	1369
192	434	1366
193	436	1364
194	438	1360
195	440	1357
196	442	1354
197	444	1350
198	446	1347
199	447	1343
200	449	1340
201	451	1337
202	453	1334
203	455	1331
204	457	1328
205	459	1324
206	461	1321
207	463	1318
208	465	1315
209	467	1313
210	469	1310
211	471	1307
212	473	1304
213	475	1302
214	477	1299
215	479	1297
216	481	1294
217	483	1291
218	485	1289
219	488	1286
220	490	1283
221	491	1280
222	493	1278
223	496	1275
224	498	1273
225	500	1271
226	502	1268
227	504	1265
228	506	1262
229	508	1260
230	511	1258
231	513	1256
232	515	1254
233	518	1253
234	520	1250
235	522	1247
